match_id,innings,batting_team,total_runs,wickets,ball_faced
64814,1,New Zealand,254,9,309
64814,2,India,219,10,272
64815,1,India,108,10,261
64815,2,New Zealand,109,5,171
64816,1,India,122,10,278
64816,2,New Zealand,123,3,162
64817,1,New Zealand,168,10,265
64817,2,India,169,8,274
64819,1,India,122,10,278
64819,2,New Zealand,125,4,178
64820,1,Australia,270,5,313
64820,2,West Indies,205,8,225
64825,1,Australia,252,10,308
64825,2,West Indies,254,7,300
64826,1,Australia,247,8,310
64826,2,West Indies,249,1,269
64827,1,Sri Lanka,201,10,305
64827,2,West Indies,146,10,260
64829,1,Sri Lanka,191,10,311
64829,2,West Indies,160,4,233
64830,1,Bangladesh,105,10,212
64830,2,Australia,107,2,149
64831,1,Bangladesh,147,10,289
64831,2,Australia,148,1,131
64832,1,Australia,254,7,306
64832,2,Bangladesh,142,10,290
64833,1,Pakistan,323,3,310
64833,2,Bangladesh,186,10,279
64836,1,Bangladesh,222,8,311
64836,2,Pakistan,226,5,307
64837,1,Pakistan,302,5,306
64837,2,Bangladesh,244,7,317
64838,1,Pakistan,277,6,303
64838,2,South Africa,269,6,312
64839,1,Pakistan,267,7,306
64839,2,South Africa,225,9,318
64840,1,Pakistan,243,8,313
64840,2,South Africa,221,6,284
64841,1,Pakistan,157,10,291
64841,2,South Africa,158,4,238
64842,1,Pakistan,192,10,303
64842,2,South Africa,193,3,289
64843,1,Bangladesh,143,10,280
64843,2,England,144,3,155
64844,1,Bangladesh,134,9,308
64844,2,England,137,3,170
64845,1,Bangladesh,182,10,302
64845,2,England,185,3,241
64846,1,England,88,10,281
64846,2,Sri Lanka,89,0,90
64848,1,West Indies,125,10,264
64848,2,Zimbabwe,128,4,184
64849,1,Zimbabwe,229,5,309
64849,2,West Indies,208,10,292
64850,1,New Zealand,291,5,315
64850,2,Pakistan,292,7,293
64851,1,West Indies,256,3,280
64851,2,Zimbabwe,150,7,201
64852,1,Zimbabwe,196,10,302
64852,2,West Indies,197,2,166
64853,1,Pakistan,281,6,304
64853,2,New Zealand,157,10,242
64855,1,New Zealand,183,10,299
64855,2,Pakistan,184,3,262
64857,1,Pakistan,229,7,304
64857,2,New Zealand,230,6,307
64862,1,South Africa,263,4,305
64862,2,West Indies,54,10,143
64864,1,West Indies,147,8,243
64864,2,South Africa,15,1,30
64865,1,South Africa,297,4,320
64865,2,West Indies,300,3,275
64870,1,Australia,262,6,306
64870,2,Sri Lanka,178,10,275
64871,1,Sri Lanka,245,10,310
64871,2,Australia,244,5,306
64872,1,South Africa,259,7,306
64872,2,New Zealand,264,4,298
64874,1,Australia,233,10,298
64874,2,Sri Lanka,193,10,264
64881,1,Bangladesh,183,10,305
64881,2,Zimbabwe,185,7,265
64882,1,Pakistan,329,6,311
64882,2,India,317,10,303
64883,1,India,244,9,323
64883,2,Pakistan,247,6,291
64884,1,Pakistan,293,9,311
64884,2,India,294,5,290
64885,1,India,293,7,310
64885,2,Pakistan,253,10,294
64887,1,Zimbabwe,211,6,305
64887,2,Sri Lanka,144,4,167
64889,1,West Indies,57,2,105
64891,1,Sri Lanka,223,9,314
64891,2,Zimbabwe,151,10,268
64894,1,England,280,8,310
64894,2,West Indies,282,6,293
64896,1,Bangladesh,144,8,315
64896,2,West Indies,145,9,286
64897,1,West Indies,124,7,150
64897,2,Bangladesh,101,8,153
64898,1,Bangladesh,118,7,155
64898,2,West Indies,119,3,150
64899,1,Zimbabwe,205,9,306
64899,2,Australia,207,3,244
64900,1,Australia,323,8,311
64900,2,Zimbabwe,184,9,274
64901,1,Zimbabwe,196,10,301
64901,2,Australia,199,2,192
64905,1,South Africa,235,7,314
64905,2,Sri Lanka,236,3,281
64906,1,Sri Lanka,308,8,312
64906,2,South Africa,259,10,295
64907,1,New Zealand,224,10,306
64907,2,Bangladesh,86,10,198
64910,1,Zimbabwe,195,10,314
64910,2,England,197,5,298
64911,1,England,263,6,314
64911,2,Zimbabwe,102,10,231
64913,1,England,261,6,304
64913,2,Zimbabwe,187,10,308
64914,1,India,245,8,311
64914,2,Bangladesh,234,8,319
64917,1,India,348,5,307
64917,2,Bangladesh,257,9,317
64919,1,Zimbabwe,237,5,307
64919,2,Bangladesh,206,10,289
64922,1,South Africa,175,9,305
64922,2,England,103,3,152
64923,1,Zimbabwe,198,10,298
64923,2,Bangladesh,202,2,203
64924,1,England,270,5,306
64924,2,South Africa,270,8,310
64925,1,England,267,8,304
64925,2,South Africa,270,7,299
64926,1,South Africa,291,5,313
64926,2,England,183,10,254
64927,1,South Africa,311,7,308
64927,2,England,304,8,308
64928,1,South Africa,211,10,285
64928,2,England,7,2,23
64929,1,England,240,10,309
64929,2,South Africa,241,7,302
64932,1,South Africa,301,7,306
64932,2,Zimbabwe,136,10,234
64933,1,Australia,264,5,317
64933,2,New Zealand,178,10,259
64934,1,South Africa,329,6,316
64934,2,Zimbabwe,198,7,312
64935,1,New Zealand,233,10,308
64935,2,Australia,236,3,214
64936,1,Zimbabwe,206,8,318
64936,2,South Africa,207,5,290
64939,1,India,356,9,308
64939,2,Pakistan,298,10,275
64941,1,India,315,6,312
64941,2,Pakistan,319,7,310
64942,1,India,249,6,306
64942,2,Pakistan,252,5,264
64943,1,Pakistan,303,8,303
64943,2,India,144,10,226
65029,1,England,204,9,311
65029,2,Pakistan,208,8,302
65030,1,Pakistan,185,10,275
65030,2,England,189,3,147
65031,1,Pakistan,229,7,307
