match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision
64814,New Zealand,India,254,219,New Zealand,"McLean Park, Napier",India,field
64815,India,New Zealand,108,109,New Zealand,"Jade Stadium, Christchurch",India,bat
64816,India,New Zealand,122,123,New Zealand,"Davies Park, Queenstown",New Zealand,field
64817,New Zealand,India,168,169,India,"Westpac Stadium, Wellington",New Zealand,bat
64819,India,New Zealand,122,125,New Zealand,"Westpac Park, Hamilton",New Zealand,field
64820,Australia,West Indies,270,205,Australia,"Sabina Park, Kingston, Jamaica",West Indies,field
64825,Australia,West Indies,252,254,West Indies,"Queen's Park (New), St George's, Grenada",Australia,bat
64826,Australia,West Indies,247,249,West Indies,"Queen's Park (New), St George's, Grenada",Australia,bat
64827,Sri Lanka,West Indies,201,146,Sri Lanka,"Kensington Oval, Bridgetown, Barbados",West Indies,field
64829,Sri Lanka,West Indies,191,160,Sri Lanka,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field
64830,Bangladesh,Australia,105,107,Australia,"Bundaberg Rum Stadium, Cairns",Australia,field
64831,Bangladesh,Australia,147,148,Australia,"Bundaberg Rum Stadium, Cairns",Bangladesh,bat
64832,Australia,Bangladesh,254,142,Australia,"Marrara Cricket Ground, Darwin",Australia,bat
64833,Pakistan,Bangladesh,323,186,Pakistan,Multan Cricket Stadium,Pakistan,bat
64836,Bangladesh,Pakistan,222,226,Pakistan,Rawalpindi Cricket Stadium,Bangladesh,bat
64837,Pakistan,Bangladesh,302,244,Pakistan,"National Stadium, Karachi",Pakistan,bat
64838,Pakistan,South Africa,277,269,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,bat
64839,Pakistan,South Africa,267,225,Pakistan,"Gaddafi Stadium, Lahore",South Africa,field
64840,Pakistan,South Africa,243,221,Pakistan,"Iqbal Stadium, Faisalabad",Pakistan,bat
64841,Pakistan,South Africa,157,158,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat
64842,Pakistan,South Africa,192,193,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat
64843,Bangladesh,England,143,144,England,"MA Aziz Stadium, Chittagong",Bangladesh,bat
64844,Bangladesh,England,134,137,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat
64845,Bangladesh,England,182,185,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat
64846,England,Sri Lanka,88,89,Sri Lanka,Rangiri Dambulla International Stadium,England,bat
64848,West Indies,Zimbabwe,125,128,Zimbabwe,"Queens Sports Club, Bulawayo",West Indies,bat
64849,Zimbabwe,West Indies,229,208,Zimbabwe,Harare Sports Club,West Indies,field
64850,New Zealand,Pakistan,291,292,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,bat
64851,West Indies,Zimbabwe,256,150,West Indies,Harare Sports Club,Zimbabwe,field
64852,Zimbabwe,West Indies,196,197,West Indies,Harare Sports Club,Zimbabwe,bat
64853,Pakistan,New Zealand,281,157,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,bat
64855,New Zealand,Pakistan,183,184,Pakistan,Rawalpindi Cricket Stadium,New Zealand,bat
64857,Pakistan,New Zealand,229,230,New Zealand,Eden Park,New Zealand,field
64862,South Africa,West Indies,263,54,South Africa,Newlands,South Africa,bat
64864,West Indies,South Africa,147,15,West Indies,Kingsmead,West Indies,bat
64865,South Africa,West Indies,297,300,West Indies,SuperSport Park,South Africa,bat
64870,Australia,Sri Lanka,262,178,Australia,Rangiri Dambulla International Stadium,Australia,bat
64871,Sri Lanka,Australia,245,244,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,bat
64872,South Africa,New Zealand,259,264,New Zealand,Carisbrook,New Zealand,field
64874,Australia,Sri Lanka,233,193,Australia,R.Premadasa Stadium,Australia,bat
